Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
Conventional lime (commercial),Conventional lime (commercial),0,200,0,None,121.2007517,27304.07972,9.459555846,27284.60792,10.01224035,142341.9955,136848.82,5493.175493,298871.6673,0.239509899,26.68251094,290.251064,2.36513E-05,6.88901E-06,1.67623E-05,0.000219121,0.000207774,1.13475E-05,210.6718686,96492.51684,0.000369203,0.123000187,0.001839876,122.0883268,1724.454225,4077.917254
"Conventional lime (commercial), avoided product SCM",Conventional lime (commercial),0,200,0,SCM,69.90533985,1678.790499,6.547381569,1664.441968,7.801149122,84243.48456,80348.90465,3894.579919,206814.6096,-0.010044425,11.60740135,114.7803158,1.92849E-05,4.03865E-06,1.52462E-05,5.87844E-05,4.91945E-05,9.58986E-06,67.0054581,80341.43576,0.00031149,0.015994599,0.001527094,74.12188973,13.47153349,2993.068769
"Conventional lime (commercial), avoided product Aggregate",Conventional lime (commercial),0,200,0,Aggregate,118.8004341,26958.79997,9.222984069,26939.81062,9.766367446,140069.8645,134668.6632,5401.201339,294211.2511,0.234021896,25.85784896,281.1758459,2.33861E-05,6.77411E-06,1.6612E-05,0.000215855,0.000204788,1.10672E-05,206.7006158,73900.59609,0.000364286,0.121623544,0.00179794,119.2314365,1639.794247,3671.099072
"Conventional lime (commercial), avoided product Filler",Conventional lime (commercial),0,200,0,Filler,67.13940587,16732.44882,-0.720847749,16728.5507,4.618963521,105018.6561,100814.7519,4203.904236,148936.7594,-0.002027521,16.34496857,172.2936216,1.36899E-05,-8.46563E-07,1.45364E-05,2.45314E-05,2.34518E-05,1.07956E-06,-40.70893473,58582.63181,1.99943E-05,-0.095580982,0.001415561,74.74704367,-1628.943689,3671.099072
"Conventional lime (commercial), building savings considered",Conventional lime (commercial),0,200,1,None,20.00744022,-14270.93464,2.577948984,-14277.5305,4.017907093,96220.64897,95202.80663,1017.842336,-289190.8715,-0.298537775,8.794404478,91.43612118,1.32317E-05,2.70904E-06,1.05227E-05,7.80769E-05,7.58838E-05,2.19317E-06,-749.2107741,33822.20287,-0.000346383,0.082344344,0.001505584,30.83579877,-1077.198646,-15644.63548
"Conventional lime (commercial), building savings considered, avoided product SCM",Conventional lime (commercial),0,200,1,SCM,-31.2879716,-39896.22386,-0.334225293,-39897.69645,1.806815864,38122.13799,38702.89122,-580.7532375,-381247.9292,-0.548092099,-6.280705114,-84.034627,8.8653E-06,-1.41318E-07,9.00662E-06,-8.22597E-05,-8.26952E-05,4.3551E-07,-892.8771846,17671.12179,-0.000404096,-0.024661244,0.001192802,-17.13063829,-2788.181338,-16729.48397
"Conventional lime (commercial), building savings considered, avoided product Aggregate",Conventional lime (commercial),0,200,1,Aggregate,17.6071227,-14616.21439,2.341377207,-14622.3278,3.772034188,93948.51795,93022.64976,925.8681825,-293851.2876,-0.304025778,7.969742494,82.36090309,1.29665E-05,2.59415E-06,1.03724E-05,7.4811E-05,7.28981E-05,1.91289E-06,-753.1820269,11230.28212,-0.0003513,0.080967701,0.001463648,27.97890846,-1161.858625,-16051.45366
"Conventional lime (commercial), building savings considered, avoided product Filler",Conventional lime (commercial),0,200,1,Filler,-34.05390558,-24842.56554,-7.602454611,-24833.58771,-1.375369737,58897.30954,59168.73846,-271.4289205,-439125.7794,-0.540075195,-1.543137893,-26.52132115,3.27031E-06,-5.02653E-06,8.29683E-06,-0.000116513,-0.000108438,-8.07479E-06,-1000.591577,-4087.682156,-0.000695592,-0.136236825,0.001081269,-16.50548434,-4430.596561,-16051.45366
"Conventional lime (commercial), short distance",Conventional lime (commercial),0,50,0,None,73.2135845,17191.57027,3.708414591,17184.57353,3.288331777,69400.73466,66695.58938,2705.145279,157599.4056,0.10454781,11.29825614,122.7649186,9.069E-06,3.45928E-06,5.60972E-06,0.000105948,0.00010079,5.1579E-06,114.3963818,33279.76231,0.000208527,0.046055127,0.00083819,58.05203359,815.7965668,1422.420239
"Conventional lime (commercial), short distance, avoided product SCM",Conventional lime (commercial),0,50,0,SCM,21.91817269,-8433.718948,0.796240314,-8435.592429,1.077240548,11302.22368,10195.67398,1106.549705,65542.34782,-0.145006514,-3.776853452,-52.70582959,4.70258E-06,6.0892E-07,4.09366E-06,-5.43889E-05,-5.77891E-05,3.40024E-06,-29.27002869,17128.68123,0.000150814,-0.060950462,0.000525408,10.08559653,-895.1861249,337.5717542
