Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
Conventional lime (commercial),Conventional lime (commercial),0,200,0,None,113.145225,26554.2093,19.38742389,26537.02486,10.2331276,132188.966,127026.5198,5267.092604,294128.7065,0.310796142,25.21327933,274.1202809,2.34307E-05,6.82817E-06,1.66044E-05,0.000215609,0.000204107,1.14086E-05,248.2617573,93742.13466,0.000418389,0.123657618,0.001794945,119.24575,1757.938177,6883.624333
"Conventional lime (commercial), avoided product SCM",Conventional lime (commercial),0,200,0,SCM,61.61431662,1023.083961,13.80647053,1014.591645,7.121956752,103025.4697,99120.25661,4009.859508,199536.4789,0.030645333,9.934530692,96.87819584,1.96969E-05,4.6636E-06,1.50352E-05,6.01444E-05,5.08613E-05,9.18972E-06,58.13463086,77202.41055,0.000325145,0.11348766,0.001495907,70.03098634,-174.7732626,6341.200091
"Conventional lime (commercial), avoided product Aggregate",Conventional lime (commercial),0,200,0,Aggregate,112.2428139,26410.73823,19.12228311,26393.89297,10.15909129,131198.5094,126082.307,5220.848875,291945.7725,0.309025317,24.8659813,270.2239181,2.33002E-05,6.75997E-06,1.65421E-05,0.000213917,0.000202585,1.12384E-05,240.9776392,91081.66403,0.000415564,0.12282221,0.001773987,118.022976,1705.828676,6341.200091
"Conventional lime (commercial), avoided product Filler",Conventional lime (commercial),0,200,0,Filler,59.08387919,15982.57841,9.207020296,15980.96765,4.839850767,94865.62653,90992.45165,3977.821347,144193.7986,0.069258722,14.87573696,156.1628386,1.34693E-05,-9.07403E-07,1.43785E-05,2.10198E-05,1.97858E-05,1.14063E-06,-3.119046089,55832.24964,6.91804E-05,-0.094923551,0.00137063,71.90446685,-1595.459738,6341.200091
"Conventional lime (commercial), building savings considered",Conventional lime (commercial),0,200,1,None,67.26116528,-9915.859198,-146.9363588,-9742.818552,-13.66817615,99042.56818,98085.0759,1062.138748,-251601.6368,-1.621794889,15.11258069,155.4885418,1.55364E-05,2.40039E-06,1.31379E-05,6.88933E-05,6.52641E-05,3.53583E-06,-489.1912958,59313.18775,-0.000154742,0.080202115,0.001562061,58.4517842,-1121.26956,-14309.83068
"Conventional lime (commercial), building savings considered, avoided product SCM",Conventional lime (commercial),0,200,1,SCM,15.73025692,-35446.98454,-152.5173122,-35265.25177,-16.779347,69879.07188,70178.81269,-195.0943478,-346193.8644,-1.901945698,-0.166167947,-21.75354327,1.18026E-05,2.35831E-07,1.15687E-05,-8.65717E-05,-8.79821E-05,1.31697E-06,-679.3184222,42773.46363,-0.000247986,0.070032158,0.001263023,9.237020572,-3053.980999,-14852.25492
"Conventional lime (commercial), building savings considered, avoided product Aggregate",Conventional lime (commercial),0,200,1,Aggregate,66.35875423,-10059.33027,-147.2014996,-9885.950449,-13.74221246,98052.11165,97140.8631,1015.895019,-253784.5709,-1.623565714,14.76528266,151.592179,1.54059E-05,2.3322E-06,1.30756E-05,6.72007E-05,6.37416E-05,3.36569E-06,-496.4754138,56652.71712,-0.000157568,0.079366707,0.001541102,57.2290102,-1173.37906,-14852.25492
"Conventional lime (commercial), building savings considered, avoided product Filler",Conventional lime (commercial),0,200,1,Filler,13.19981949,-20487.4901,-157.1167624,-20298.87577,-19.06145298,61719.22876,62051.00773,-227.1325085,-401536.5448,-1.863332309,4.775038323,37.53109947,5.57498E-06,-5.33518E-06,1.0912E-05,-0.000125696,-0.000119058,-6.73212E-06,-740.5720991,21403.30273,-0.000503951,-0.138379054,0.001137746,11.11050108,-4474.667475,-14852.25492
"Conventional lime (commercial), short distance",Conventional lime (commercial),0,50,0,None,68.64658929,16811.49825,13.31022813,16806.45089,4.173245044,66046.03112,63510.34706,2640.330526,154492.863,0.186637239,10.53542163,114.6156847,8.92918E-06,3.47442E-06,5.45663E-06,0.000106032,0.000100778,5.16076E-06,116.194599,31329.59599,0.000215176,0.046877362,0.000819458,55.88669655,836.5069909,4228.127318
"Conventional lime (commercial), short distance, avoided product SCM",Conventional lime (commercial),0,50,0,SCM,17.11568093,-8719.627094,7.729274775,-8715.982332,1.0620742,36882.53481,35604.08385,1383.09743,59900.63543,-0.093513571,-4.743327006,-62.6264004,5.19541E-06,1.30985E-06,3.88743E-06,-4.94326E-05,-5.24679E-05,2.9419E-06,-73.9325274,14789.87187,0.000121932,0.036707404,0.000520419,6.671932916,-1096.204448,3685.703076
